,rel,end_entity
0,atlocation,backseat_of_car
1,atlocation,cradle
2,atlocation,crib
3,atlocation,house
4,atlocation,rug
5,atlocation,womb
6,capableof,arrive_early
7,capableof,arrive_on_time
8,capableof,begin_to_talk
9,capableof,belong_to_mother
10,capableof,boy_or_girl
11,capableof,bring_joy
12,capableof,brown_diaper
13,capableof,cry
14,capableof,cry_all_night
15,capableof,cry_all_night_long
16,capableof,cry_for_long_time
17,capableof,cry_lot
18,capableof,cry_loud
19,capableof,cry_loudly
20,capableof,crying_loud
21,capableof,crying_when_hungry
22,capableof,decide_whether_to_spit_out
23,capableof,delight_parents
24,capableof,drink_from_bottle
25,capableof,fear_loud_noises
26,capableof,laugh_at_mother
27,capableof,learn_to_speak
28,capableof,learn_to_walk
29,capableof,name_dog
30,capableof,need_milk
31,capableof,need_to_burp
32,capableof,nurse
33,capableof,play_pat_cake
34,capableof,play_peekaboo
35,capableof,play_with_rattle
36,capableof,pull_hair
37,capableof,rest_all_night
38,capableof,shake_rattle
39,capableof,sleep_in_crib
40,capableof,speaking_in_gibberish
41,capableof,swallow_toy_marble
42,capableof,talk_nonsense
43,capableof,throw_food_everywhere
44,capableof,wave_hand
45,capableof,wave_to_mother
46,capableof,wet_diaper
47,capableof,wet_diapers
48,_capableof,grandaughter
49,_capableof,people
50,_causes,loving_another
51,createdby,ivf
52,createdby,sex
53,desires,comfort
54,desires,drink_milk
55,desires,understand_things
56,distinctfrom,adult
57,_distinctfrom,child
58,_hascontext,breastfeed
59,hasproperty,beginning_to_talk
60,_isa,alex
61,isa,brand_new_person
62,isa,given_automatic_empathy
63,isa,newborn_human
64,isa,very_young_child
65,isa,young_infant_of_kind
66,isa,young_rather_than_old
67,isa,younger_than_toddler
68,isa,younger_version_of_adult
69,_isa,newborn
70,_isa,puppies
71,notdesires,hungry
72,nothasproperty,self_sufficient
73,_similarto,mollycoddle
74,usedfor,building_family
